g_loss,d_loss
"[3763785.8, 2014.7623, 1161209.0, 4390311.5, 6994424.5]",[62.5  0.5]
"[3883173.2, 2014.7623, 1165311.9, 4386090.5, 7392501.0]",[62.5  0.5]
"[3675729.2, 2014.7623, 1122927.5, 4270580.0, 6858916.5]",[62.5  0.5]
"[3358849.0, 2014.7623, 1075998.2, 3920691.5, 6199467.0]",[62.5  0.5]
"[3738871.5, 2014.7623, 1120433.6, 4406466.0, 6935998.0]",[62.5  0.5]
"[3866698.0, 2014.7623, 1107370.1, 4404158.5, 7377457.0]",[62.5  0.5]
"[3227979.5, 2014.7623, 932366.9, 3731641.5, 6095916.5]",[62.5  0.5]
"[3310414.0, 2014.7623, 957918.6, 3876007.0, 6200780.0]",[62.5  0.5]
"[3492393.8, 2014.7623, 1038855.75, 4028075.5, 6574374.0]",[62.5  0.5]
"[3757598.5, 2014.7623, 1115237.8, 4215806.5, 7194276.0]",[62.5  0.5]
"[3407101.5, 2014.7623, 985474.94, 3872992.0, 6498530.5]",[62.5  0.5]
"[3564902.2, 2014.7623, 1033385.06, 4146093.8, 6703522.0]",[62.5  0.5]
"[3565180.5, 2014.7623, 1032371.6, 4137392.0, 6714164.5]",[62.5  0.5]
"[3598400.5, 2014.7623, 1017176.25, 4202946.0, 6774539.0]",[62.5  0.5]
"[3275410.8, 2014.7623, 977304.0, 3791833.0, 6148891.5]",[62.5  0.5]
"[3763660.8, 2014.7623, 1028569.1, 4169568.2, 7347391.5]",[62.5  0.5]
"[3410714.0, 2014.7623, 1008265.56, 3928951.5, 6431822.5]",[62.5  0.5]
"[3327321.8, 2014.7623, 980100.75, 3846460.2, 6264504.5]",[62.5  0.5]
"[3519710.2, 2014.7623, 982025.06, 3998999.5, 6751336.0]",[62.5  0.5]
"[3699324.5, 2014.7623, 1058718.6, 4161816.5, 7110539.0]",[62.5  0.5]
"[3666530.5, 2014.7623, 1040916.5, 4219450.0, 6961394.5]",[62.5  0.5]
"[3370507.5, 2014.7623, 958836.2, 3884515.0, 6391666.5]",[62.5  0.5]
"[3430024.0, 2014.7623, 1042624.94, 3971268.2, 6419512.5]",[62.5  0.5]
"[3752572.0, 2014.7623, 1062905.0, 4244876.5, 7200785.0]",[62.5  0.5]
